year,date,temp_mean,temp_min,temp_max,hum_mean,light_mean,light_max,st1,st2,st3,st4,sm1,sm2,sm3,sm4,ph,salt,pest_count,lure_count,spore_count,label
2025,2025-05-02,9.570989035087718,8.24,11.94,88.54964692982456,9391.481013157896,38951.66,9.176946271929824,7.895524122807018,6.416200657894737,4.927501096491228,23.460855263157896,22.675729166666667,21.717375,22.90775548245614,6.918012808623954,0.0089496247563352,0.0,1.0,0.0,2
2025,2025-05-03,9.185,4.54,12.72,83.925625,14397.760416666666,63668.380000000005,8.652501096491228,7.526529605263159,6.356029605263158,5.133008771929824,23.70068591617934,22.81984100877193,21.906702850877192,23.07084429824561,6.840434183193191,0.0092199524853801,0.0,0.0,0.0,2
2025,2025-05-04,7.984616228070175,3.3200000000000003,13.14,71.41374780701754,22634.744760964913,104640.04,8.38405153508772,7.3296217105263155,6.275709429824561,5.183634868421053,23.345660331384018,22.548047149122805,21.77136951754386,23.04738157894737,6.971000828991265,0.0090885721247563,0.0,1.0,0.0,2
2025,2025-05-05,9.254063596491228,4.76,13.64,66.16040350877192,26722.23801754386,103351.28,8.119325657894738,7.270139254385965,6.301094298245614,5.279141447368421,22.93205165692008,22.22952850877193,21.547830043859648,22.977359649122807,7.161187312989185,0.0089678874269005,0.0,2.0,0.0,2
2025,2025-05-06,10.263441878567722,3.5799999999999996,15.16,62.359194127313614,26317.495365961768,103646.2,8.333393640350877,7.286143640350877,6.3219309210526315,5.356611842105263,22.55265350877193,21.988429824561404,21.403024122807015,22.880401315789474,7.2639893743394195,0.008729389619883,0.0,1.0,0.0,2
2025,2025-05-07,11.70147149122807,5.24,17.580000000000002,57.45390570175439,26408.956173245613,90498.02,9.355610745614037,7.914338815789473,6.673843201754385,5.58302850877193,22.271812865497076,21.861311403508772,21.336906798245614,22.808740131578947,7.262632972972942,0.0085841617933723,0.0,2.0,0.0,2
2025,2025-05-08,12.603960941594188,3.3,18.26,60.22366776105446,23965.32229347382,94847.08,10.173576497760358,8.682802118327734,7.3100301418439715,6.068086249533408,22.001821212309736,21.695836412840613,21.276330510451665,22.75827260638298,7.208055145513844,0.0084709266258139,0.0,2.0,0.0,2
2025,2025-05-09,9.885208333333331,6.9799999999999995,12.16,86.12270833333334,6569.566041666667,29227.379999999997,8.899292763157895,8.319576754385965,7.45347149122807,6.417416666666666,21.974421296296295,21.7467149122807,21.208623903508773,22.703265350877196,7.458576097614734,0.0084209271442495,0.0,1.0,0.0,2
2025,2025-05-10,12.586269736842103,4.1,19.94,69.30808991228069,32187.239265350876,88833.54000000001,10.75290789473684,8.943410087719299,7.554668859649122,6.450199561403508,22.373556286549707,21.893655701754387,21.28390789473684,22.693895833333336,7.40212022179532,0.0076889265350877,0.0,2.0,0.0,2
2025,2025-05-11,16.725464912280703,6.279999999999999,22.92,57.34357236842105,23543.676541666668,82256.42,11.629645833333331,9.919196271929824,8.438833333333333,7.101570175438596,22.116917641325536,21.712208333333333,21.29691118421053,22.738990131578948,7.293299353923842,0.0078175559210526,0.0,1.0,0.0,2
